star_name,distance_ly,ra_hms,dec_deg
Sol,0.0,00:00:00.0,0.0
Proxima Centauri,4.2465,14:29:43.0,-62.679444
Alpha Centauri,4.3441,14:39:36.5,-60.833889
Barnard's Star,5.9629,17:57:48.5,4.693333
Wolf 359,7.8558,10:56:29.2,7.014722
Sirius,8.7094,06:45:08.9,16.716111
Ross 154,9.7063,18:49:49.4,-23.836111
Epsilon Eridani,10.4749,03:32:55.8,-9.458333
61 Cygni A,11.4039,21:06:53.9,38.741944
Procyon,11.463,07:39:18.1,5.225
Epsilon Indi,11.867,22:03:21.7,-56.786111
Tau Ceti,11.9118,01:44:04.1,-15.9375
Kapteyn's Star,12.8308,05:11:40.6,-45.018333
70 Ophiuchi,16.7074,18:05:27.4,2.499722
Altair,16.73,19:50:47.0,8.868333
Sigma Draconis,18.7993,19:32:21.6,69.661111
Lalande 27173,19.1987,23:49:12.5,-21.415556
Eta Cassiopeiae,19.3314,00:49:06.3,57.815278
YZ Canis Minoris,19.533,07:44:40.2,3.5525
82 G. Eridani,19.7045,03:19:55.7,-43.069722
Delta Pavonis,19.893,20:08:43.6,-66.181944
